users,arm,seeds,coverage,regime,host_retention,retention_n,retention_after_empty,empty_first_post_hosts,repeat_rate,tandems_per_user,zero_joiner_rate,surviving_host_fraction,host_gini,deck_relevance,impressions,joins,completions,repeats
20,shipped,3,0.522,0.001,0.865,20,0.865,10,0.530,4.783,0.451,0.250,0.630,0.056,4929,170,96,52
20,regime_adaptive,3,0.000,0.000,0.883,20,0.806,11,0.523,3.750,0.504,0.100,0.674,0.053,4761,140,75,41
20,full_ranker_fixed,3,0.000,0.000,0.800,20,0.693,12,0.566,3.350,0.519,0.133,0.771,0.060,3990,135,67,38
20,proximity_only,3,0.000,0.000,0.883,20,0.831,10,0.526,4.067,0.534,0.217,0.574,0.057,5125,162,81,46
20,random,3,0.000,0.000,0.800,20,0.703,12,0.465,3.717,0.529,0.150,0.679,0.055,4326,135,74,38
40,shipped,3,0.755,0.004,0.900,40,0.796,16,0.509,8.950,0.281,0.292,0.599,0.068,20212,707,358,184
40,regime_adaptive,3,0.000,0.000,0.858,40,0.761,22,0.578,8.925,0.329,0.208,0.735,0.064,19787,650,357,207
40,full_ranker_fixed,3,0.000,0.000,0.883,40,0.781,20,0.571,9.100,0.387,0.258,0.723,0.063,19219,658,364,213
40,proximity_only,3,0.000,0.000,0.908,40,0.823,17,0.561,9.592,0.340,0.217,0.638,0.073,19083,770,384,220
40,random,3,0.000,0.000,0.858,40,0.793,23,0.468,5.683,0.442,0.192,0.680,0.055,18190,476,227,107
80,shipped,3,1.875,0.196,0.912,80,0.784,21,0.551,12.229,0.188,0.479,0.518,0.091,41548,1946,978,540
80,regime_adaptive,3,0.000,0.000,0.863,80,0.762,39,0.519,10.479,0.295,0.254,0.745,0.073,41459,1520,838,437
80,full_ranker_fixed,3,0.000,0.000,0.845,80,0.736,44,0.551,10.975,0.339,0.208,0.797,0.074,40966,1594,878,484
80,proximity_only,3,0.000,0.000,0.925,80,0.813,30,0.583,12.713,0.291,0.292,0.593,0.096,41580,2048,1017,601
80,random,3,0.000,0.000,0.879,80,0.802,44,0.260,5.654,0.429,0.200,0.670,0.055,40328,891,452,118
150,shipped,3,3.654,0.735,0.933,150,0.792,27,0.550,14.860,0.146,0.460,0.501,0.119,80205,4519,2229,1229
150,regime_adaptive,3,0.000,0.000,0.842,150,0.739,85,0.466,10.553,0.306,0.244,0.807,0.082,80228,3000,1583,738
150,full_ranker_fixed,3,0.000,0.000,0.837,150,0.770,97,0.512,12.173,0.379,0.187,0.855,0.082,80344,3267,1826,935
150,proximity_only,3,0.000,0.000,0.909,150,0.825,48,0.648,17.793,0.226,0.367,0.565,0.129,80469,5357,2669,1732
150,random,3,0.000,0.000,0.862,150,0.769,78,0.179,5.820,0.427,0.240,0.636,0.056,79611,1700,873,157
300,shipped,3,8.255,0.962,0.964,300,0.851,40,0.561,17.684,0.123,0.546,0.455,0.144,159419,10580,5305,2983
300,regime_adaptive,3,0.000,0.000,0.824,300,0.768,211,0.460,12.814,0.392,0.189,0.884,0.094,159155,7036,3844,1775
300,full_ranker_fixed,3,0.000,0.000,0.820,300,0.762,220,0.465,13.183,0.445,0.144,0.894,0.094,159360,7198,3955,1850
300,proximity_only,3,0.000,0.000,0.920,300,0.768,73,0.647,20.078,0.205,0.393,0.548,0.153,159488,12001,6023,3897
300,random,3,0.000,0.000,0.860,300,0.784,158,0.099,5.576,0.425,0.237,0.646,0.057,159589,3369,1673,167
600,shipped,3,17.625,0.996,0.960,600,0.808,54,0.518,17.912,0.088,0.597,0.414,0.161,315275,22360,10747,5567
600,regime_adaptive,3,0.000,0.000,0.783,600,0.739,483,0.464,13.972,0.512,0.122,0.931,0.098,315283,14627,8383,3896
600,full_ranker_fixed,3,0.000,0.000,0.797,600,0.760,493,0.452,13.531,0.544,0.102,0.936,0.098,315909,14562,8119,3685
600,proximity_only,3,0.000,0.000,0.927,600,0.801,137,0.651,20.895,0.204,0.425,0.525,0.173,314291,25348,12537,8165
600,random,3,0.000,0.000,0.858,600,0.764,306,0.047,5.158,0.429,0.227,0.645,0.055,314515,6286,3095,145
