users,arm,seeds,coverage,regime,host_retention,retention_n,retention_after_empty,empty_first_post_hosts,repeat_rate,tandems_per_user,zero_joiner_rate,surviving_host_fraction,host_gini,deck_relevance,impressions,joins,completions,repeats
20,shipped,6,0.515,0.001,0.833,20,0.725,10,0.578,4.450,0.457,0.192,0.667,0.058,5360,179,89,52
20,ranker_repaired,6,0.000,0.000,0.825,20,0.762,12,0.487,4.250,0.487,0.208,0.702,0.056,4673,170,85,48
20,ranker_no_funnel,6,0.000,0.000,0.800,20,0.640,10,0.538,4.925,0.470,0.167,0.683,0.058,5096,197,99,59
20,proximity_only,6,0.000,0.000,0.875,20,0.841,10,0.535,4.183,0.509,0.183,0.632,0.060,5043,175,84,46
20,random,6,0.000,0.000,0.833,20,0.741,11,0.465,3.850,0.513,0.167,0.669,0.056,4800,148,77,39
40,shipped,6,0.781,0.002,0.883,40,0.781,16,0.572,8.996,0.308,0.288,0.591,0.070,19909,750,360,210
40,ranker_repaired,6,0.000,0.000,0.858,40,0.764,22,0.527,8.171,0.381,0.238,0.701,0.064,18490,623,327,178
40,ranker_no_funnel,6,0.000,0.000,0.892,40,0.824,17,0.468,7.938,0.334,0.317,0.586,0.064,19108,649,318,154
40,proximity_only,6,0.000,0.000,0.900,40,0.840,18,0.565,8.921,0.351,0.258,0.618,0.070,18711,727,357,206
40,random,6,0.000,0.000,0.854,40,0.785,22,0.411,5.379,0.436,0.183,0.657,0.054,17399,440,215,89
80,shipped,6,1.631,0.152,0.910,80,0.760,25,0.559,11.983,0.240,0.346,0.562,0.093,41437,1934,959,541
80,ranker_repaired,6,0.000,0.000,0.871,80,0.789,44,0.513,11.213,0.328,0.252,0.744,0.080,41429,1658,897,465
80,ranker_no_funnel,6,0.000,0.000,0.894,80,0.811,28,0.456,11.171,0.253,0.358,0.566,0.088,41704,1807,894,409
80,proximity_only,6,0.000,0.000,0.927,80,0.841,30,0.587,12.733,0.288,0.308,0.585,0.098,41486,2091,1019,603
80,random,6,0.000,0.000,0.871,80,0.793,45,0.270,5.858,0.429,0.219,0.665,0.057,40578,923,469,128
150,shipped,6,3.667,0.749,0.930,150,0.769,35,0.568,15.566,0.161,0.452,0.508,0.122,79602,4734,2335,1329
150,ranker_repaired,6,0.000,0.000,0.856,150,0.773,82,0.497,12.928,0.320,0.204,0.789,0.090,79811,3547,1939,966
150,ranker_no_funnel,6,0.000,0.000,0.920,150,0.781,42,0.447,13.672,0.179,0.456,0.521,0.107,79671,4137,2051,917
150,proximity_only,6,0.000,0.000,0.909,150,0.811,47,0.640,17.301,0.229,0.350,0.568,0.127,80001,5227,2595,1664
150,random,6,0.000,0.000,0.868,150,0.784,78,0.180,5.551,0.433,0.220,0.644,0.054,79380,1649,833,150
300,shipped,6,7.863,0.968,0.944,300,0.792,47,0.546,16.935,0.127,0.513,0.470,0.143,158876,10454,5081,2773
300,ranker_repaired,6,0.000,0.000,0.848,300,0.763,178,0.474,15.042,0.329,0.193,0.821,0.104,158303,7930,4513,2139
300,ranker_no_funnel,6,0.000,0.000,0.933,300,0.770,58,0.409,15.201,0.130,0.513,0.475,0.127,158881,9377,4560,1869
300,proximity_only,6,0.000,0.000,0.925,300,0.795,74,0.650,20.039,0.208,0.396,0.541,0.154,159132,12085,6012,3910
300,random,6,0.000,0.000,0.865,300,0.791,158,0.098,5.417,0.430,0.236,0.643,0.056,158699,3291,1625,159
600,shipped,6,17.556,0.995,0.957,600,0.811,62,0.515,17.808,0.094,0.595,0.409,0.161,313763,22314,10685,5501
600,ranker_repaired,6,0.000,0.000,0.838,600,0.747,358,0.440,15.962,0.335,0.159,0.842,0.114,314079,16857,9578,4216
600,ranker_no_funnel,6,0.000,0.000,0.946,600,0.781,90,0.367,16.027,0.098,0.587,0.429,0.141,313851,19984,9616,3534
600,proximity_only,6,0.000,0.000,0.930,600,0.809,135,0.655,21.093,0.202,0.419,0.532,0.172,314009,25404,12656,8291
600,random,6,0.000,0.000,0.860,600,0.771,310,0.051,5.201,0.433,0.226,0.649,0.055,313532,6249,3121,159
